iter	Passed	Remaining
414	2857	4027
415	2862	4018
416	2868	4010
417	2874	4002
418	2880	3994
419	2887	3987
420	2893	3979
421	2899	3971
422	2906	3965
423	2913	3958
424	2921	3952
425	2928	3945
426	2935	3939
427	2942	3932
428	2948	3924
429	2954	3916
430	2960	3907
431	2966	3900
432	2971	3891
433	2977	3882
434	2983	3875
435	2989	3867
436	3009	3877
437	3018	3872
438	3023	3864
439	3029	3855
440	3036	3848
441	3041	3839
442	3048	3832
443	3053	3823
444	3059	3815
445	3065	3808
446	3071	3799
447	3076	3790
448	3083	3783
449	3088	3775
450	3094	3767
451	3100	3759
452	3106	3750
453	3112	3742
454	3118	3735
455	3125	3728
456	3132	3721
457	3137	3713
458	3144	3705
459	3149	3697
460	3155	3689
461	3162	3682
462	3168	3674
463	3173	3666
464	3180	3659
465	3185	3650
466	3191	3642
467	3204	3643
468	3217	3642
469	3223	3635
470	3230	3627
471	3235	3619
472	3242	3612
473	3247	3603
474	3253	3596
475	3260	3589
476	3265	3580
477	3271	3572
478	3277	3565
479	3283	3556
480	3288	3548
481	3295	3541
482	3300	3533
483	3307	3525
484	3312	3517
485	3318	3509
486	3325	3503
487	3332	3496
488	3339	3489
489	3344	3481
490	3351	3474
491	3364	3473
492	3373	3469
493	3379	3461
494	3384	3453
495	3391	3446
496	3397	3438
497	3403	3431
498	3409	3423
499	3414	3414
500	3421	3407
501	3427	3400
502	3433	3392
503	3440	3385
504	3445	3377
505	3450	3369
506	3457	3361
507	3462	3353
508	3469	3346
509	3475	3338
510	3481	3331
511	3488	3324
512	3493	3316
513	3500	3309
514	3513	3308
515	3527	3308
516	3534	3301
517	3539	3293
518	3545	3285
519	3551	3278
520	3557	3270
521	3562	3262
522	3569	3255
523	3575	3247
524	3581	3240
525	3587	3232
526	3593	3224
527	3600	3218
528	3605	3210
529	3611	3202
530	3618	3196
531	3625	3189
532	3631	3182
533	3638	3174
534	3643	3167
535	3650	3159
536	3655	3152
537	3661	3144
538	3671	3140
539	3685	3139
540	3691	3132
541	3698	3124
542	3703	3117
543	3709	3109
544	3716	3102
545	3722	3094
546	3728	3087
547	3735	3080
548	3741	3073
549	3747	3066
550	3753	3058
551	3758	3050
552	3765	3043
553	3770	3035
554	3777	3028
555	3783	3021
556	3788	3012
557	3795	3006
558	3800	2998
559	3805	2990
560	3812	2983
561	3817	2975
562	3823	2967
563	3830	2961
564	3837	2954
565	3844	2947
566	3849	2939
567	3854	2931
568	3861	2924
569	3867	2917
570	3872	2909
571	3881	2904
572	3895	2903
573	3901	2895
574	3908	2888
575	3913	2881
576	3919	2873
577	3926	2866
578	3932	2859
579	3939	2852
580	3946	2846
581	3952	2838
582	3959	2831
583	3964	2824
584	3970	2816
585	3976	2809
586	3982	2801
587	3988	2794
588	3994	2787
589	4000	2779
590	4006	2772
591	4012	2765
592	4017	2757
593	4024	2750
594	4029	2742
595	4036	2735
596	4042	2728
597	4050	2722
598	4063	2719
599	4070	2713
600	4076	2706
601	4082	2698
602	4088	2691
603	4093	2684
604	4099	2676
605	4105	2669
606	4111	2661
607	4116	2654
608	4122	2646
609	4127	2639
610	4134	2632
611	4141	2625
612	4147	2618
613	4153	2611
614	4159	2603
615	4164	2596
616	4170	2588
617	4176	2581
618	4182	2574
619	4188	2567
620	4193	2559
621	4200	2552
622	4205	2545
623	4211	2537
624	4217	2530
625	4223	2523
626	4228	2515
627	4236	2509
628	4243	2502
629	4249	2495
630	4255	2488
631	4269	2486
632	4280	2481
633	4286	2474
634	4291	2466
635	4297	2459
636	4303	2452
637	4308	2444
638	4315	2438
639	4321	2430
640	4327	2423
641	4332	2416
642	4338	2408
643	4345	2402
644	4352	2395
645	4358	2388
646	4364	2381
647	4370	2373
648	4375	2366
649	4381	2359
650	4387	2351
651	4394	2345
652	4399	2338
653	4405	2330
654	4413	2324
655	4429	2322
656	4435	2315
657	4442	2309
658	4450	2303
659	4458	2296
660	4465	2289
661	4471	2282
662	4477	2275
663	4483	2268
664	4488	2261
665	4494	2254
666	4499	2246
667	4506	2239
668	4512	2232
669	4517	2225
670	4524	2218
671	4529	2210
672	4535	2203
673	4543	2197
674	4549	2190
675	4556	2183
676	4561	2176
677	4567	2169
678	4573	2162
679	4579	2154
680	4584	2147
681	4592	2141
682	4609	2139
683	4615	2132
684	4621	2125
685	4626	2117
686	4632	2110
687	4638	2103
688	4644	2096
689	4650	2089
690	4657	2082
691	4664	2075
692	4671	2069
693	4677	2062
694	4683	2055
695	4689	2048
696	4695	2041
697	4701	2034
698	4706	2026
699	4712	2019
700	4719	2013
701	4724	2005
702	4730	1998
703	4738	1992
704	4744	1985
705	4751	1978
706	4757	1971
707	4763	1964
708	4770	1957
709	4775	1950
710	4781	1943
711	4787	1936
712	4793	1929
713	4800	1922
714	4818	1920
715	4825	1913
716	4832	1907
717	4838	1900
718	4844	1893
719	4852	1886
720	4859	1880
721	4865	1873
722	4871	1866
723	4877	1859
724	4883	1852
725	4889	1845
726	4894	1837
727	4900	1830
728	4906	1823
729	4912	1816
730	4917	1809
731	4923	1802
732	4929	1795
733	4934	1788
734	4940	1781
735	4947	1774
736	4952	1767
737	4958	1760
738	4965	1753
739	4972	1747
740	4986	1742
741	4995	1736
742	5001	1729
743	5006	1722
744	5013	1715
745	5018	1708
746	5024	1701
747	5030	1694
748	5035	1687
749	5042	1680
750	5048	1673
751	5053	1666
752	5061	1660
753	5068	1653
754	5074	1646
755	5080	1639
756	5085	1632
757	5092	1625
758	5098	1618
759	5103	1611
760	5110	1604
761	5115	1597
762	5122	1590
763	5127	1583
764	5140	1579
765	5150	1573
766	5157	1566
767	5164	1560
768	5170	1553
769	5176	1546
770	5182	1539
771	5189	1532
772	5195	1525
773	5201	1518
774	5207	1511
775	5212	1504
776	5219	1497
777	5225	1490
778	5230	1483
779	5237	1477
780	5242	1470
781	5248	1463
782	5256	1456
783	5262	1449
784	5269	1443
785	5274	1436
786	5280	1429
787	5287	1422
788	5292	1415
789	5298	1408
790	5304	1401
791	5310	1394
792	5316	1387
793	5321	1380
794	5327	1373
795	5334	1367
796	5345	1361
797	5356	1355
798	5363	1349
799	5369	1342
800	5375	1335
801	5381	1328
802	5387	1321
803	5392	1314
804	5399	1307
805	5404	1300
806	5410	1293
807	5417	1287
808	5422	1280
809	5428	1273
810	5435	1266
811	5440	1259
812	5447	1253
813	5453	1246
814	5458	1239
815	5465	1232
816	5472	1225
817	5478	1219
818	5484	1212
819	5490	1205
820	5496	1198
821	5502	1191
822	5507	1184
823	5513	1177
824	5524	1171
825	5535	1166
826	5542	1159
827	5548	1152
828	5554	1145
829	5561	1139
830	5569	1132
831	5574	1125
832	5580	1118
833	5586	1111
834	5593	1105
835	5598	1098
836	5604	1091
837	5611	1084
838	5616	1077
839	5622	1071
840	5629	1064
841	5635	1057
842	5641	1050
843	5647	1043
844	5652	1036
845	5659	1030
846	5665	1023
847	5670	1016
848	5679	1010
849	5686	1003
850	5701	998
851	5709	991
852	5714	984
853	5720	977
854	5726	971
