iter	Logloss
0	0.6743570396
1	0.6620855151
2	0.645943293
3	0.6289126417
4	0.611566305
5	0.595768567
6	0.5819821833
7	0.5694346262
8	0.554157834
9	0.5434996241
10	0.5292206487
11	0.5173018416
12	0.5032028686
13	0.4902224484
14	0.4778313972
15	0.4666065185
16	0.4569034185
17	0.4463833935
18	0.4363264726
19	0.4243873691
20	0.4139658035
21	0.4045750624
22	0.3974063166
23	0.3866409965
24	0.375912211
25	0.3674025809
26	0.3580994844
27	0.3502751909
28	0.34052995
29	0.331837567
30	0.3254336376
31	0.3175305752
32	0.3095317188
33	0.3023794017
34	0.2951935359
35	0.2869730017
36	0.2806444828
37	0.2748985519
38	0.2688833191
39	0.2629187655
40	0.2575331301
41	0.2516564709
42	0.2463500935
43	0.2408698533
44	0.23541623
45	0.2302150358
46	0.2262202922
47	0.2212834079
48	0.2167228754
49	0.2122597131
50	0.2089719002
51	0.2048295144
52	0.2002745722
53	0.1953290047
54	0.1915847685
55	0.187911432
56	0.1842039115
57	0.1808312698
58	0.1770344292
59	0.1733963383
60	0.1702029923
61	0.1669510536
62	0.163671247
63	0.1603578115
64	0.1574143008
65	0.1553988038
66	0.1522799404
67	0.1493572609
68	0.1461671741
69	0.1437689538
70	0.1405916689
71	0.1382126251
72	0.1352284898
73	0.1326392608
74	0.1301050779
75	0.1277102173
76	0.1251871803
77	0.1229583497
78	0.1209749217
79	0.1191222248
80	0.116869207
81	0.1149424748
82	0.1127710751
83	0.1102380903
84	0.1085660273
85	0.1070360122
86	0.1052423936
87	0.1034727855
88	0.1021102023
89	0.10025083
90	0.09898350645
91	0.09728253921
92	0.09561968688
93	0.09416283328
94	0.09257686678
95	0.09145412212
96	0.08970194436
97	0.08801155012
98	0.08657776058
99	0.08489133702
100	0.08343647264
101	0.08204343397
102	0.08068803401
103	0.07935769303
104	0.07809385291
105	0.07692966445
106	0.07571877973
107	0.0745086453
108	0.07357080107
109	0.07263391726
110	0.07167667121
111	0.0703598088
112	0.06938568594
113	0.06846574202
114	0.06740794996
115	0.06641623871
116	0.06549643735
117	0.06441463486
118	0.06351219078
119	0.06276588319
120	0.06202396894
121	0.06098361213
122	0.060193069
123	0.059600607
124	0.05885731588
125	0.05797830027
126	0.05720182876
127	0.05646149886
128	0.05569076955
129	0.05495504553
130	0.05394092365
131	0.05316816906
132	0.05253040657
133	0.05205452044
134	0.05143539594
135	0.05074922359
136	0.0503019215
137	0.04952913079
138	0.04904113016
139	0.04835242269
140	0.04765186906
141	0.04715127858
142	0.04656261333
143	0.04598223471
144	0.04539823784
145	0.04503850651
146	0.04457195697
147	0.04395321418
148	0.04347791322
149	0.04301948853
150	0.04256239073
151	0.04186873592
152	0.04140638416
153	0.04102945773
154	0.04058733993
155	0.04008455261
156	0.03998832567
157	0.03964290921
158	0.03905858977
159	0.03859097183
160	0.03816221576
161	0.03777200653
162	0.03746025264
163	0.03712061484
164	0.03660553901
165	0.03630939256
166	0.03593103588
167	0.03553474993
168	0.03504605749
169	0.03449962867
170	0.03427695541
171	0.03384032233
172	0.03355196139
173	0.03307765364
174	0.03276130936
175	0.03244246761
176	0.0321820185
177	0.03187249646
178	0.0315489331
179	0.03118739987
180	0.03087199997
181	0.03059234583
182	0.03023563534
183	0.02993739903
184	0.02959474333
185	0.02927494005
186	0.02897854967
187	0.02869830072
188	0.02840281668
189	0.02814239001
190	0.02779227776
191	0.02755899504
192	0.02728147963
193	0.02700466556
194	0.02678563681
195	0.02671178313
196	0.02644999632
197	0.0261669557
198	0.02587290588
199	0.0256348543
200	0.02529982989
201	0.02519294856
202	0.02487387017
203	0.02461448144
204	0.02455206974
205	0.02436874831
206	0.02430091545
207	0.02408497908
208	0.02385284823
209	0.02376268019
210	0.02363412496
211	0.02345840331
212	0.02330407207
213	0.0232497826
214	0.02314365469
215	0.02304300839
216	0.02299952695
217	0.02273499439
218	0.02246163095
219	0.02217441248
220	0.02200337378
221	0.02186040366
222	0.0217351254
223	0.02158843722
224	0.02151042561
225	0.02142965687
226	0.02134645674
227	0.0211975457
228	0.02104441489
229	0.0209687975
230	0.02087353275
231	0.02071600866
232	0.0205542609
233	0.02046242331
234	0.02028149834
235	0.02022700977
236	0.02015912085
237	0.02006920512
238	0.02002728308
239	0.01987783241
240	0.01975249361
241	0.01963708998
242	0.01958099856
243	0.01952402484
244	0.01934816539
245	0.01917063292
246	0.01912117804
247	0.01894956875
248	0.018793172
249	0.01874213853
250	0.0186386858
251	0.01859562099
252	0.0184776876
253	0.01842266445
254	0.01820250862
255	0.01802630777
256	0.01790848555
257	0.017729817
258	0.01766496823
259	0.01764541033
260	0.01746498306
261	0.01740210343
262	0.0173144971
263	0.0171448383
264	0.01702053033
265	0.01688413572
266	0.01682571554
267	0.01673719544
268	0.01663176845
269	0.01657025404
270	0.01647470188
271	0.01642327216
272	0.01636303169
273	0.01629702515
274	0.0161742295
275	0.01608621653
276	0.01599138885
277	0.01584725883
278	0.01580503192
279	0.0156991561
280	0.01566190833
281	0.01553935766
282	0.01545302579
283	0.01533853827
284	0.01523419796
285	0.01518699975
286	0.01515930369
287	0.01513406771
288	0.01506655175
289	0.01496641171
290	0.0148388193
291	0.01478326419
292	0.01475119896
293	0.01462846651
294	0.01451960524
295	0.01445553236
296	0.01431375823
297	0.01427087899
298	0.01420194004
299	0.01417574924
300	0.01413714681
301	0.01407704428
302	0.01404056167
303	0.01400198841
304	0.01396648449
305	0.01392251066
306	0.01381912565
307	0.01377485154
308	0.01369689966
309	0.01368561672
310	0.01360072432
311	0.01355958517
312	0.01345905344
313	0.01341339437
314	0.01332190382
315	0.01323654877
316	0.0132016359
317	0.01318735587
318	0.01315536227
319	0.01312272599
320	0.01301241573
321	0.01296313464
322	0.01282666237
323	0.01280073365
324	0.01276402954
325	0.0127236382
326	0.01269123514
327	0.01261836925
328	0.01255350915
329	0.01246747861
330	0.01242826832
331	0.01233721347
332	0.01231623276
333	0.01225037812
334	0.01216195383
335	0.01213802545
336	0.01211304124
337	0.01205513379
338	0.01200756675
339	0.01194470484
340	0.01190558702
341	0.01187305035
342	0.01184145751
343	0.01174112505
344	0.01165957549
345	0.01164900841
346	0.01159812344
347	0.01153794574
348	0.01152005998
349	0.0114455526
350	0.0114156906
351	0.01133778973
352	0.01130006431
353	0.01124928273
354	0.01116219285
355	0.01108636735
356	0.01108204926
357	0.0110698009
358	0.01097612845
359	0.01091334551
360	0.01089586595
361	0.01084282018
