date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,daily_return,rolling_volatility,ma_7,ma_30,day_of_week,month,lagged_return_1,lagged_return_2,anomaly
2025-01-19,104556.23,106422.43,99651.6,0.8386309831195047,0.4515219186707705,1737331199999,4513423971.410252,5271920,21079.51082,2193270771.0019445,0,0.3018089034403678,0.33554252534900775,0.8382684308018193,0.7854913752237032,6,1,0.4979126668878819,0.6988066446223264,-1
2025-01-20,101331.57,109588.0,99550.0,0.8697643303131306,0.9999999999999999,1737417599999,9398787064.320717,11597937,44770.529492,4704453254.515383,0,0.5231576299185587,0.33581292296546394,0.885035175674326,0.7950746593274847,0,1,0.3018089034403678,0.4979126668878819,-1
2025-01-21,102260.0,107240.81,100119.04,1.0,0.48176525433832795,1737503999999,4768512258.156501,6842980,23227.02741,2411854258.5127187,0,0.6826096508292303,0.3572074557721635,0.9430581000019558,0.8162117148810841,1,1,0.5231576299185587,0.3018089034403678,-1
2025-01-23,103706.66,106850.0,101262.28,0.9251047905195593,0.5770237793596894,1737676799999,5610760848.131639,6961383,27045.92646,2813824950.5718837,0,0.4833275153592779,0.3322941071508895,0.9862430662679307,0.8433564314370185,3,1,0.3454130861052113,0.6826096508292303,-1
2025-01-27,102620.01,103260.0,97777.77,0.8638229593513382,0.5390375257168023,1738022399999,5092886322.829244,9368910,23529.22433,2361569760.8418937,0,0.44349651162992754,0.2862447807513663,0.9989272102009856,0.9002616777720505,0,1,0.36011065617706667,0.4659362759293389,-1
2025-02-02,100635.66,101456.6,96150.0,0.7168734532919312,0.34715993024387415,1738540799999,3412084312.583628,7202339,15587.16669,1536076091.303013,0,0.31108355291568296,0.3281963403873659,0.905437012289493,0.9787727060757065,6,2,0.3755541938253638,0.35128614239513917,-1
2025-02-03,97700.59,102500.01,91231.0,0.8385287075724142,0.829215762605032,1738627199999,7228589180.71162,10625262,36736.56946,3537845694.4812655,0,0.6779251906193899,0.37336079132915134,0.9008698146752296,0.9847680600920414,0,2,0.31108355291568296,0.3755541938253638,-1
2025-02-04,101328.51,101732.31,96150.0,0.7189706050017772,0.4143166776630056,1738713599999,3989698644.2649302,6618911,19091.58154,1891457194.3598328,0,0.27776692234626127,0.4155402385910224,0.8792397009484905,0.9836097373721975,1,2,0.6779251906193899,0.31108355291568296,-1
2025-02-25,91552.88,92540.69,86050.99,0.41439972637099487,0.8668855983063374,1740527999999,6962982500.904473,10289145,35822.15275,3183981371.4750504,0,0.29885585712295965,0.11686652104143658,0.6119808060358141,0.8227360571059581,1,2,0.20199614375806907,0.45566835252032645,-1
2025-02-26,88680.39,89414.15,82256.01,0.26583829062351194,0.6119834556096403,1740614399999,4898429925.636476,8490006,28077.1845,2417690848.8189874,0,0.19603211613902166,0.19865293208020773,0.5369358960564896,0.7883367966825148,2,2,0.29885585712295965,0.20199614375806907,-1
2025-02-27,84250.09,87078.46,82716.49,0.28121282032366013,0.4409186719588798,1740700799999,3618738891.222162,6357581,20355.71969,1732725913.2817628,0,0.5025720230067351,0.20370270189221273,0.4546122665321368,0.7562635180329655,3,2,0.19603211613902166,0.29885585712295965,-1
2025-02-28,84708.57,85120.0,78258.52,0.26918655730448604,0.9300765518390322,1740787199999,6806705236.69068,11344216,40224.85287,3274291175.8104,0,0.4490338278824676,0.16814107944430512,0.3829716083679058,0.7188732356329686,4,2,0.5025720230067351,0.19603211613902166,-1
2025-03-02,86064.54,95000.0,85050.6,0.6018355945730245,0.5881518396401777,1740959999999,4972549515.788669,7403218,29273.81031,2652973441.154539,0,1.0,0.5147936626730686,0.3074411032769371,0.6671415144247819,6,3,0.584934120160987,0.4490338278824676,-1
