timestamp,btc_volatility
2022-01-01,
2022-01-02,
2022-01-03,
2022-01-04,
2022-01-05,
2022-01-06,
2022-01-07,
2022-01-08,
2022-01-09,
2022-01-10,
2022-01-11,
2022-01-12,
2022-01-13,
2022-01-14,
2022-01-15,
2022-01-16,
2022-01-17,
2022-01-18,
2022-01-19,
2022-01-20,
2022-01-21,
2022-01-22,
2022-01-23,
2022-01-24,
2022-01-25,
2022-01-26,
2022-01-27,
2022-01-28,
2022-01-29,
2022-01-30,
2022-01-31,0.02697984679509026
2022-02-01,0.027074631014806387
2022-02-02,0.027986008037501595
2022-02-03,0.028162152194103923
2022-02-04,0.034527052047057166
2022-02-05,0.034504895358775364
2022-02-06,0.0341621886654252
2022-02-07,0.034696817548510187
2022-02-08,0.034697255309630366
2022-02-09,0.034704209655737436
2022-02-10,0.03474171395873963
2022-02-11,0.03471277402779925
2022-02-12,0.03425604321175226
2022-02-13,0.03419476204120973
2022-02-14,0.03426130966776554
2022-02-15,0.03532273741323437
2022-02-16,0.03522523183321994
2022-02-17,0.038019176082308336
2022-02-18,0.037980946697761794
2022-02-19,0.037738247006319815
2022-02-20,0.033265688456672105
2022-02-21,0.03319345011212751
2022-02-22,0.03317977996539067
2022-02-23,0.03351635038496232
2022-02-24,0.03388035692271238
2022-02-25,0.03408554717354297
2022-02-26,0.03407336750055308
2022-02-27,0.03469203530183439
2022-02-28,0.04355186227516024
2022-03-01,0.04370487984665622
2022-03-02,0.04379059280837173
2022-03-03,0.044338398042997364
2022-03-04,0.04591288244571719
2022-03-05,0.04589111744712171
2022-03-06,0.04100950221004038
2022-03-07,0.04104302061463084
2022-03-08,0.040950806439361644
2022-03-09,0.043333623095049505
2022-03-10,0.044654912538217274
2022-03-11,0.04469111177091974
2022-03-12,0.044595904209061135
2022-03-13,0.044609460289021824
2022-03-14,0.04564635305918964
2022-03-15,0.04567196943622897
2022-03-16,0.046456882146953114
2022-03-17,0.0455915642844594
2022-03-18,0.045698561303598006
2022-03-19,0.04342247024766179
2022-03-20,0.0435627638013584
2022-03-21,0.04358843201629012
2022-03-22,0.04314385857577405
2022-03-23,0.042492122120933055
2022-03-24,0.042353476096266794
2022-03-25,0.04194244850483523
2022-03-26,0.041731424041935444
2022-03-27,0.042470494161334325
2022-03-28,0.04243374157563946
2022-03-29,0.04163928811694225
2022-03-30,0.03278734999482131
2022-03-31,0.033068630003413084
2022-04-01,0.03309065581575867
2022-04-02,0.0325170678840183
2022-04-03,0.02873266933095476
2022-04-04,0.028735790424553445
2022-04-05,0.028679752722177987
2022-04-06,0.030383490344375444
2022-04-07,0.030256546860598407
2022-04-08,0.026887379913771107
2022-04-09,0.024381041403710585
2022-04-10,0.024283946438095803
2022-04-11,0.027067900595555767
2022-04-12,0.02665246559554813
2022-04-13,0.025524319790423817
2022-04-14,0.026064483518352832
2022-04-15,0.024759490146110244
2022-04-16,0.024756454626888916
2022-04-17,0.024631732303176102
2022-04-18,0.025135776392213188
2022-04-19,0.025001882699975008
2022-04-20,0.024979544956410922
2022-04-21,0.02450102716732687
2022-04-22,0.024573845642317453
2022-04-23,0.02400161440555412
2022-04-24,0.023927743264112174
2022-04-25,0.024443705603828473
2022-04-26,0.0241112740124249
2022-04-27,0.024895634338314897
2022-04-28,0.025029462367267646
2022-04-29,0.025386224094693984
2022-04-30,0.02513342315750992
2022-05-01,0.025317378665143466
2022-05-02,0.0253375959555703
2022-05-03,0.025237529186859228
2022-05-04,0.027363851522103595
2022-05-05,0.030379420653055208
2022-05-06,0.0292538954354428
2022-05-07,0.029213227113085338
2022-05-08,0.02963020891253537
2022-05-09,0.03552008963847658
2022-05-10,0.03634214779355677
2022-05-11,0.03630903528078057
2022-05-12,0.036069827415764484
2022-05-13,0.03558455052136172
2022-05-14,0.03605848088148701
2022-05-15,0.03695789967481302
2022-05-16,0.037611904203444006
2022-05-17,0.03793014325215146
2022-05-18,0.038296920861633915
2022-05-19,0.03989785813758604
2022-05-20,0.040184382912457225
2022-05-21,0.04028083398953375
2022-05-22,0.04084420866749874
2022-05-23,0.04123134386933169
2022-05-24,0.041515363545022235
2022-05-25,0.041049158434463696
2022-05-26,0.040055415432677016
2022-05-27,0.03946825102906863
2022-05-28,0.039490862028987356
2022-05-29,0.03956790113971909
2022-05-30,0.042349727649700755
2022-05-31,0.042064968042462916
2022-06-01,0.0433156008139964
2022-06-02,0.043564536989508684
2022-06-03,0.04226487459449166
2022-06-04,0.0401830240462896
2022-06-05,0.04017146357189517
2022-06-06,0.04130694408787414
2022-06-07,0.04072002558279184
2022-06-08,0.035004773456709534
2022-06-09,0.034529970704607026
2022-06-10,0.03317299409101281
2022-06-11,0.033445613162141646
2022-06-12,0.03542429096616363
2022-06-13,0.04443319172466094
2022-06-14,0.04343059821747236
2022-06-15,0.043236173321566054
2022-06-16,0.04579111267350649
2022-06-17,0.04508135496630966
2022-06-18,0.04471673828089683
2022-06-19,0.04799334733417725
2022-06-20,0.047904553448060376
2022-06-21,0.047450278012265104
2022-06-22,0.047382103693389306
2022-06-23,0.04867488919322877
2022-06-24,0.04875174103444588
2022-06-25,0.04891019355091757
2022-06-26,0.04892226921225276
2022-06-27,0.0487344237289802
2022-06-28,0.048549967142990945
2022-06-29,0.04562478384695472
2022-06-30,0.04553445589972957
2022-07-01,0.0447659984543758
2022-07-02,0.04433795029060662
2022-07-03,0.04440302506214868
2022-07-04,0.04566636855836919
2022-07-05,0.04562477595608798
2022-07-06,0.044583968595668044
2022-07-07,0.04611328813953921
2022-07-08,0.046008632421421385
